ID,Hakfa_FHL_Unicode,PFS_Unicode,PFS_Numeric,Hakfa_IPA,Taigi_FHL_Unicode,POJ_Unicode,Hanzi,Hakfa_HanLo,Taigi_HanLo,Hua-gi
15073,vì-fu,vì-fu,vi2-fu4,[ʋi˩˩] [fu˥˥],îhō͘,î-hō͘,vìfu,維護,維護,維護
15074,vi-fûn-chhî,vi-fûn-chhî,vi4-fun1-chhi1,[ʋi˥˥] [fun˨˦] [tɕʰi˨˦],bīhunchhe,bī-hun-chhe,vifûnchhî,未婚妻,未婚妻,未婚妻
15075,vi-fûn-fû,vi-fûn-fû,vi4-fun1-fu1,[ʋi˥˥] [fun˨˦] [fu˨˦],bīhunhu,bī-hun-hu,vifûnfû,未婚夫,未婚夫,未婚夫
15076,vî-fûng,vî-fûng,vi1-fung1,[ʋi˨˦] [fuŋ˨˦],uihong,ui-hong,vîfûng,威風,威風,威風
15077,vî-hia̍p,vî-hia̍p,vi1-hiap5,[ʋi˨˦] [hiap̚˥],uihia̍p,uih-ia̍p,vîhia̍p,威脅,威脅,威脅
15078,vi-hiû,vi-hiû,vi4-hiu1,[ʋi˥˥] [hiu˨˦],kiaⁿ kiànsiàu,kiaⁿ kiàn-siàu,vihiû,畏羞,驚見笑,害羞
15079,vì-hong-lòi,vì-hong-lòi,vi2-hong4-loi2,[ʋi˩˩] [hoŋ˥˥] [loi˩˩],ûi khí lâi,ûi khí lâi,vì honglòi,圍項來,圍起來,圍起來
15080,vi-khiéu,vi-khiéu,vi4-khieu3,[ʋi˥˥] [kʰieu˧˩],ūikháu,ūi-kháu,vikhiéu,胃口,胃口,胃口
15081,vì-khong,vì-khong,vi2-khong4,[ʋi˩˩] [kʰoŋ˥˥],ûikhòng,ûi-khòng,vìkhong,違抗,違抗,違抗
15082,vì-khun,vì-khun,vi2-khun4,[ʋi˩˩] [kʰun˥˥],ûikhùn,ûi-khùn,vìkhun,圍困,圍困,圍困
15083,vî-khut,vî-khut,vi1-khut6,[ʋi˨˦] [kʰut̚˨],úikhut,úi-khut,vîkhut,委屈,委屈,委屈
15084,vì-kim,vì-kim,vi2-kim4,[ʋi˩˩] [kim˥˥],ûikìm,ûi-kìm,vìkim,違禁,違禁,違禁
15085,vì-kîn,vì-kîn,vi2-kin1,[ʋi˩˩] [kin˨˦],ûikin,ûi-kin,vìkîn,圍巾,圍巾,圍巾
15086,vì-kûng,vì-kûng,vi2-kung1,[ʋi˩˩] [kuŋ˨˦],ûikong,ûi-kong,vìkûng,圍攻,圍攻,圍攻
15087,vì-kûng,vì-kûng,vi2-kung1,[ʋi˩˩] [kuŋ˨˦],ûikong,ûi-kong,vìkûng,圍攻,圍攻,圍攻
15088,vì-làn,vì-làn,vi2-lan2,[ʋi˩˩] [lan˩˩],ûicha̍h,ûi-cha̍h,vìlàn,圍欄,圍閘,柵欄
